brand_raw,price_discounted,price_mrp,page
"Multical-1000 Sachets (1 Box = 10 Sachets)

Rs. 23.75

Rs. 25.00","23.75

 25.00","23.75

 25.00",1
"Transamin Im/Iv Injection 250mg 5ml (1 Box = 10 Ampoules)

Rs. 24.58

Rs. 25.87","24.58

 25.87","24.58

 25.87",1
"Fusimed-H Cream 15g

Rs. 286.90

Rs. 302.00","286.90

 302.00","286.90

 302.00",1
"Flucon 35ml Suspension 50mg

Rs. 334.42

Rs. 352.02","334.42

 352.02","334.42

 352.02",1
"Rocip Eye Drops 5ml

Rs. 45.45

Rs. 47.84","45.45

 47.84","45.45

 47.84",1
"Atcomid Tablets 100mg (1 Box = 1 Strip)(1 Strip = 14 Tablets)

Rs. 665.00

Rs. 700.00","665.00

 700.00","665.00

 700.00",1
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",1
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",1
"Fusimed-H Cream 15g

Rs. 286.90

Rs. 302.00","286.90

 302.00","286.90

 302.00",1
"Ivermite Tablets 6mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 428.50

Rs. 451.00","428.50

 451.00","428.50

 451.00",1
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",1
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",1
"Ossobon-D Suspension 120ml

Rs. 475.00

Rs. 500.00","475.00

 500.00","475.00

 500.00",1
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",1
"Progeffik Softgel Capsules 200mg (1 Box = 1 Strip)(1 Strip = 15 Capsules)

Rs. 1,956.30

Rs. 2,059.24","1,956.30

 2,059.24","1,956.30

 2,059.24",2
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",2
"Persch 30ml Syrup 1mg/Ml

Rs. 503.50

Rs. 530.00","503.50

 530.00","503.50

 530.00",2
"Alphagan Eye Drops 0.2% 5ml

Rs. 807.50

Rs. 850.00","807.50

 850.00","807.50

 850.00",2
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",2
"Vilanto-U Dpi Capsules 62.5mcg+25mcg (1 Box = 3 Strips) (1 Strip = 10 Capsules)

Rs. 348.30

Rs. 366.67","348.30

 366.67","348.30

 366.67",2
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",2
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",2
"Brivace Tablets 50mg (1 Box = 2 Strips) (1 Strip = 7 Tablets)

Rs. 1,309.14

Rs. 1,378.00","1,309.14

 1,378.00","1,309.14

 1,378.00",2
"Persch 30ml Syrup 1mg/Ml

Rs. 503.50

Rs. 530.00","503.50

 530.00","503.50

 530.00",2
"Tenofo-B Tablets 300mg

Rs. 4,065.90

Rs. 4,280.00","4,065.90

 4,280.00","4,065.90

 4,280.00",2
"Vorinaz Tablets 200mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 1,666.20

Rs. 1,753.92","1,666.20

 1,753.92","1,666.20

 1,753.92",2
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",2
"Sinemet Tablets 25mg/250mg (1 Strip = 10 Tablets)

Rs. 269.30

Rs. 283.52","269.30

 283.52","269.30

 283.52",2
"Progeffik Softgel Capsules 200mg (1 Box = 1 Strip)(1 Strip = 15 Capsules)

Rs. 1,956.30

Rs. 2,059.24","1,956.30

 2,059.24","1,956.30

 2,059.24",3
